abbreviation	title	shorttitle
BTL	Biotechnology Letter	Biotechnol. Lett.
C	Carbon	Carbon
CAJ	Chemistry—An Asian Journal	Chem. – Asian J.
CAT	Catalysts	Catalysts
CB	Chemische Berichte	Chem. Ber.
CBC	ChemBioChem	ChemBioChem
CBDD-	Chemical Biology \& Drug Design	Chem. Biol. Drug Des.
CC	Chemical Communications	Chem. Commun.
CCADD	Current Computer-Aided Drug Design	Curr. Comput. Aided Drug Des.
CCC	ChemCatChem	ChemCatChem
CCCC	Collection of Czechoslovak Chemical Communications	Collect. Czech. Chem. Commun.
CCL	Chinese Chemical Letters	Chin. Chem. Lett.
CCOM-	Catalysis Communications	Catal. Commun.
CCR-	Coordination Chemistry Reviews	Coord. Chem. Rev.
CCELL-	Cancer Cell	Cancer Cell
CDDT	Current Drug Discovery Technologies	Curr. Drug Discovery Technol.
CEC	CrystEngComm	CrystEngComm
CEJ	Chemistry—A European Journal	Chem. – Eur. J.
CELL-	Cell	Cell
CELC	ChemElectroChem	ChemElectroChem
CEN	Chemical \& Engineering News	Chem. Eng. News
CENJ-	Chemical Engineering Journal	Chem. Eng. J.
CET	Chemical Engineering and Technology	Chem. Eng. Technol.
CF-	Combustion and Flame	Combust. Flame
CG-	Chemical Geology	Chem. Geol.
CGD	Crystal Growth \& Design	Cryst. Growth Des.
CH	Chimia	Chimia
CHB	Chemistry \& Biology	Chem. Biol.
CHC	Chemistry of Heterocyclic Compounds	Chem. Heterocycl. Compd.
CHCH	Carbohydrate Chemistry	Carbohydr. Chem.
CHEM	Chem	Chem
CHL	Chemické Listy	Chem. Listy
CHO	ChemitryOpen	ChemistryOpen
CHOG	Chimica Oggi	Chim. Oggi
CHRL	Chirality	Chirality
CHS	ChemistrySelect	ChemistrySelect
CIL	Chemistry \& Industry (London)	Chem. Ind. (London)
CIMB	Current Issues in Molecular Biology	Curr. Issues Mol. Biol.
CJC	Canadian Journal of Chemistry	Can. J. Chem.
CJCH	Chinese Journal of Chemistry	Chin. J. Chem.
CJOC	Chinese Journal of Organic Chemistry	Chin. J. Org. Chem.
CJCL	Chinese Journal of Catalysis	Chin. J. Catal.
CL	Chemistry Letters	Chem. Lett.
CM	Chemistry of Materials	Chem. Mater.
CMDC	ChemMedChem	ChemMedChem
CMEDCIII	Comprehensive Medicinal Chemistry III	Compr. Med. Chem. III
CMC	Current Medicinal Chemistry	Curr. Med. Chem.
CMCACA	Current Medicinal Chemistry Anti-Cancer Agents	Curr. Med. Chem. Anti-Cancer Agents
CMMI	Contrast Media \& Molecular Imaging	Contrast Media Mol. Imaging
CNC	Chemistry of Natural Compounds	Chem. Nat. Compd.
CNCR	Cancer Research	Cancer Res.
CO	Clinical Oncology	Clin. Oncol.
COC	Current Organic Chemistry	Curr. Org. Chem.
COCB	Current Opinion in Chemical Biology	Curr. Opin. Chem. Biol.
COCIS	Current Opinion in Colloid and Interface Science	Curr. Opin. Colloid Interface Sci.
CODDD	Current Opinion in Drug Discovery \& Development	Curr. Opin. Drug Discov. Devel.
COGSC	Current Opinion in Green and Sustainable Chemistry	Curr. Opin. Green Sust. Chem.
COMPPC-	Computer Physics Communications	Comput. Phys. Commun.
COS	Current Organic Synthesis	Curr. Org. Synth.
CP	Chemical Physics	Chem. Phys.
CPB	Chemical \& Pharmaceutical Bulletin	Chem. Pharm. Bull.
CPC	ChemPlusChem	ChemPlusChem
CPE	Chemical and Process Engineering	Chem. Process Eng.
CPHC	ChemPhysChem	ChemPhysChem
CPHTC	ChemPhotoChem	ChemPhotoChem
CPL-	Chemical Physics Letters	Chem. Phys. Lett
CPNAC-	Current Protocols in Nucleic Acid Chemistry	Curr. Protoc. Nucleic Acid Chem.		
CR-	Carbohydrate Research	Carbohydr. Res.
CRC	Comptes Rendus Chimie	C. R. Chim.
CRCU	Chemical Research in Chinese Universities	Chem. Res. Chin. Univ.
CRD	Chemical Record	Chem. Rec.
CRT	Chemical Research in Toxicology	Chem. Res. Toxicol.
CRV	Chemical Reviews	Chem. Rev.
CRVT	Critical Reviews in Toxicology	Crit. Rev. Toxicol.
CS	Chemical Science	Chem. Sci.
CS-B-B	Colloids and Surfaces, B: Biointerfaces	Colloids Surf., B
CSC	Crystal Structure Communications	Cryst. Struct. Commun.
CSR	Chemical Society Reviews	Chem. Soc. Rev.
CST	Catalysis Science \& Technology	Catal. Sci. Technol.
CSUSC	ChemSusChem	ChemSusChem
CT-	Catalysis Today	Catal. Today
CTMC	Current Topics in Medicinal Chemistry	Curr. Top. Med. Chem.
CUS	Current Science	Curr. Sci.
CZ	Chemiker-Zeitung	Chem.-Ztg.
CZV	Chemicke Zvesti	Chem. Zvesti
DC	Doklady Chemistry	Dokl. Chem.
DDTT	Drug Discovery Today: Technologies	Drug Discov. Today Technol.
DMP	Designed Monomers and Polymers	Des. Monomers Polym.
DNANU	Dopovidi Natsionalnoi Akademii Nauk Ukraini	Dopov. Nats. Akad. Nauk Ukr.
DP-	Dyes and Pigments	Dyes Pigm.
DPC	Doklady Physical Chemistry	Dokl. Phys. Chem.
DS-	Desalination	Desalination
DT	Dalton Transactions	Dalton Trans.
DTA	Drug Testing and Analysis	Drug Test. Anal.
EC	Environmental Chemistry	Environ. Chem.
ECA-	Electrochimica Acta	Electrochim. Acta
ECC-	Electrochemistry Communications	Electrochem. Commun.
ECSEL	ECS Electrochemistry Letters	ECS Electrochem. Lett.
ECSSL	Electrochemical and Solid-State Letters	Electrochem. Solid-State Lett.
ECST	ECS Transactions	ECS Trans.
ECSI-	The Electrochemical Society Interface	Electrochem. Soc. Interface
EES	Energy \& Environmental Science	Energy Environ. Sci.
EJIC	European Journal of Inorganic Chemistry	Eur. J. Inorg. Chem.
EJMC-	European Journal of Medicinal Chemistry	Eur. J. Med. Chem.
EJMSM	European Journal of Mass Spectrometry	Eur. J. Mass Spectrom.
EJOC	European Journal of Organic Chemistry	Eur. J. Org. Chem.
EJPS-	European Journal of Pharmaceutical Sciences	Eur. J. Pharm. Sci.
EML	Electronic Materials Letters	Electron. Mater. Lett.
EMR	eMagRes	eMagRes
ENP	Environmental Pollution	Environ. Pollut.
EODMT	Expert Opinion on Drug Metabolism \& Toxicology	Expert Opin. Drug Metab. Toxicol.
EP	Environmental Progress	Environ. Prog.
EPJ-	European Polymer Journal	Eur. Polym. J.
EPL	EPL	EPL
ESM-	Energy Storage Materials	Energy Storage Mater.
EST	Environmental Science \& Technology	Environ. Sci. Technol.
F1000R	F1000Research	F1000Research
FC	Frontiers in Chemistry	Front. Chem.
FD	Faraday Discussions	Faraday Discuss.
FE	Ferroelectrics	Ferroelectrics
FEBS	FEBS Journal	FEBS J.
FMC	Future Medicinal Chemistry	Future Med. Chem.
FML	Functional Materials Letters	Funct. Mater. Lett.
FNL	Future Neurology	Future Neurol.
GC	Green Chemistry	Green Chem.
GENE-	Gene	Gene
GZHX	Guangzhou Huaxue	Guangzhou Huaxue
H-	Heterocycles	Heterocycles
HC	Heteroatom Chemistry	Heteroat. Chem.
HCA	Helvetica Chimica Acta	Helv. Chim. Acta
IAN-SK	Izvestiya Akademii Nauk SSSR, Seriya Khimicheskaya	Izv. Akad. Nauk SSSR, Ser. Khim.
IC	Inorganic Chemistry	Inorg. Chem.
ICA-	Inorganica Chimica Acta	Inorg. Chim. Acta
ICC	Inorganic Chemistry Communications	Inorg. Chem. Commun.
ICF	Inorganic Chemistry Frontiers	Inorg. Chem. Front.
IECR	Industrial \& Engineering Chemistry Research	Ind. Eng. Chem. Res.
IF	Il Farmaco	Il Farmaco
IJC	Israel Journal of Chemistry	Isr. J. Chem.
IJCS	International Journal of Chemical Science	Int. J. Chem. Sci.
IJMS-	International Journal of Mass Spectrometry	Int. J. Mass. Spectrom.
IJTP	Internaltional Journal of Thermophysics	Int. J. Thermophys
IM	Inorganic Materials	Inorg. Mater.
INORG	Inorganics	Inorganics
IONICS	Ionics	Ionics
IS	Inorganic Synthesis	Inorg. Synth.
ISRNOC	ISRN Organic Chemistry	ISRN Organic Chemistry
J	Joule	Joule
JACS	Journal of the American Chemical Society	J. Am. Chem. Soc.
JAEC	Journal of Applied Electrochemistry	J. Appl. Electrochem.
JAFC	Journal of Agricultural and Food Chemistry	J. Agric. Food Chem.
JAMCT-	Journal of Antimicrobial Chemotherapy	J. Antimicrob. Chemother.
JAPH-	Jorunal of Applied Physics	J. Appl. Phys.
JAPS	Journal of Applied Polymer Science	J. Appl. Polym. Sci.
JASMS	Journal of the American Society for Mass Spectrometry	J. Am. Soc. Mass Spectrom.
JAST	Journal of Adhesion Science and Technology	J. Adhes. Sci. Technol.
JAWWA	Journal of the America Water Works Association	J. Am. Water Works Ass.
JBC	Journal of Biological Chemistry	J. Biol. Chem.
JBMC	Journal of Bone and Mineral Research	J. Bone Miner. Res.
JBMR-A	Journal of Biomedical Materials Research. Part A	J. Biomed. Mat. Res., Part A
JBMR-B	Journal of Biomedical Materials Research. Part B	J. Biomed. Mat. Res., Part B
JC	Journal of Chemistry	J. Chem.
JCAT-	Journal of Catalysis	J. Catal.
JCC	Journal of Carbohydrate Chemistry	J. Carbohydr. Chem.
JCCG	Journal of Chemical Crystallography	J. Chem. Crystallogr.
JCCS	Journal of Chinese Chemical Society	J. Chin. Chem. Soc.
JCE	Journal of Chemical Ecology	J. Chem. Ecol.
JCED	Journal of Chemical Engineering Data	J. Chem. Eng. Data
JCEDU	Journal of Chemical Education	J. Chem. Educ.
JCHRA-	Journal of Chromatography A	J. Chromatogr. A
JCI	Journal of Cheminformatics	J. Cheminf.
JCIM	Journal of Chemical Information and Modeling	J. Chem. Inf. Model
JCO2U	Journal of CO2 Utilization	J. CO2 Util.
JCOMBC	Journal of Combinatorial Chemistry	J. Comb. Chem.
JCOMPC	Journal of Computational Chemistry	J. Comput. Chem.
JCP	Journal of Chemical Physics	J. Chem. Phys.
JCR	Journal of Chemical Research	J. Chem. Res.
JCR-S	Journal of Chemical Research, Synopses	J. Chem. Res., Synopses
JCS	Journal of the Chemical Society	J. Chem. Soc.
JCS-A	Journal of the Chemical Society A: Inorganic, Physical, Theoretical	J. Chem. Soc. A
JCS-CC	Journal of the Chemical Society, Chemical Communications	J. Chem. Soc., Chem. Commun.
JCS-CC	Journal of the Chemical Society D: Chemical Communications	J. Chem. Soc. D
JCS-DT	Journal of the Chemical Society, Dalton Transactions	J. Chem. Soc. Dalton Trans.
JCS-O	Journal of the Chemical Society C: Organic	J. Chem. Soc. C
JCS-P1	Journal of the Chemical Society, Perkin Transactions 1	J. Chem. Soc., Perkin Trans. 1
JCS-P2	Journal of the Chemical Society, Perkin Transactions 2	J. Chem. Soc., Perkin Trans. 2
JCTC	Journal of Chemical Theory and Computation	J. Chem. Theory Comput.
JCSC	Journal of Chemical Science	J. Chem. Sci.
JEAC-	Journal of Electroanalitical Chemistry	J. Electroanal. Chem.
JECS	Journal of the Electrochemical Society	J. Electrochem. Soc.
JESH-A	Journal of Environmental Science and Health, Part A	J. Environ. Sci. Health., Part A
JESH-B	Journal of Environmental Science and Health, Part B	J. Environ. Sci. Health., Part B
JETO	Journal of Experimental Therapeutics and Oncology	J. Exp. Ther. Oncol.
JFC-	Journal of Fluorine Chemistry	J. Fluorine Chem.
JFPC	Journal für praktische Chemie	J. Prakt. Chem.
JHC	Journal of Heterocyclic Chemistry	J. Heterocycl. Chem.
JIB	Journal of Inorganic Biochemistry	J. Inorg. Biochem.
JINC	Journal of Inorganic and Nuclear Chemistry	J. Inorg. Nucl. Chem.
JIPMC-	Journal of Inclusion Phenomena and Macrocyclic Chemistry	J. Incl. Phenom. Macrocycl. Chem
JLAC-	Justus Liebigs Annalen der Chemie	Justus Liebigs Ann. Chem.
JLAC-	Liebigs Annalen der Chemie	Liebigs Ann. Chem.
JLCR	Journal of Labelled Compounds and Radiopharmaceuticals	J. Labelled Compd. Rad.
JMAC	Journal of Materials Chemistry	J. Mater. Chem.
JMAC-A	Journal of Materials Chemistry A	J. Mater. Chem. A
JMAC-B	Journal of Materials Chemistry B	J. Mater. Chem. B
JMAC-C	Journal of Materials Chemistry C	J. Mater. Chem. C
JMB	Journal of Molecular Biology	J. Mol. Biol.
JMC	Journal of Medicinal Chemistry	J. Med. Chem.
JMCL-AC	Journal of Molecular Catalysis A: Chemical	J. Mol. Catal. A-Chem.
JMGM	Journal of Molecular Graphics and Modelling	J. Mol. Graphics Modell.
JML-	Journal of Molecular Liquids	J. Mol. Liq.
JMLR	Journal of Machine Learning Research	J. Mach. Learn. Res.
JMMOD	Journal of Molecular Modeling	J. Mol. Model.
JMMS-AC	Journal of Macromolecular Science: Part A - Chemistry	J. Macromol. Sci., Chem.
JMMS-PR	Journal of Macromolecular Science, Polymer Reviews	J. Macromol. Sci., Polym. Rev.
JMS	Journal of Molecular Structure	J. Mol. Struct.
JMSM	Journal of Mass Spectrometry	J. Mass Spectrom.
JMSC-	Journal of  Membrane Science	J. Membr. Sci.
JNC-	Journal of Neurochemistry	J. Neurochem.
JNM	Journal of Nuclear Medicine	J. Nucl. Med.
JNP	Journal of Natural Products	J. Nat. Prod.
JOC	The Journal of Organic Chemistry	J. Org. Chem.
JOMC-	Journal of Organometalic Chemistry	J. Organomet. Chem.
JPC	Journal of Physical Chemistry	J. Phys. Chem.
JPC-A	Journal of Physical Chemistry A	J. Phys. Chem. A
JPC-B	Journal of Physical Chemistry B	J. Phys. Chem. B
JPC-C	Journal of Physical Chemistry C	J. Phys. Chem. C
JPCL	Journal of Physical Chemistry Letters	J. Phys. Chem. Lett.
JPCM	J. Phys. Condens. Matter	J. Phys. Condens. Matter
JPCPB-A-	Journal of Photochemistry and Photobiology A: Chemistry	J. Photochem. Photobiol. A
JPHARMS	Journal of Pharmaceutical Sciences	J. Pharm. Sci.
JPOC	Journal of Physical Organic Chemistry	J. Phys. Org. Chem.
JPP	Journal of Pharmacy and Pharmacology	J. Pharm. Pharmacol.
JPS-A-	Journal of Polymer Science Part A: General Papers	J. Polym. Sci. Part A
JPS-A1-	Journal of Polymer Science Part A-1: Polymer Chemistry	J. Polym. Sci. A1
JPS-B-PL-	Journal of Polymer Science Part B: Polymer Letters	J. Polym. Sci. Pol. Lett.
JPS-A-PC-	Journal of Polymer Science Part A: Polymer Chemistry	J. Polym. Sci., Part A: Polym. Chem.
JPS-B-PP-	Journal of Polymer Science Part B: Polymer Physics	J. Polym. Sci., Part B: Polym. Phys.
JPS-	Journal of Polymer Science	J. Polym. Sci.
JPST	Journal of Photopolymer Science and Technology	J. Photopolym. Sci. Technol.
JPWS-	Journal of Power Sources	J. Power Sources
JSC	Journal of Solution Chemistry	J. Solution Chem.
JSOCJ	Journal of Synthetic Organic Chemistry, Japan	J. Synth. Org. Chem. Jpn.
JSSE	Journal of Solid State Electrochemistry	J. Solid State Electrochem.
JTOX	Journal of Toxicology	J. Toxicol.
KMJ	Korean Membrane Journal	Korean Membr. J.
L	Langmuir	Langmuir
LC-	Liquid Crystals	Liq. Cryst.
LIFE	Life	Life
LOC	Letters in Organic Chemistry	Lett. Org. Chem.
M	Molecules	Molecules
MA	Materials	Materials
MC	Mendeleev Communications	Mendeleev Commun.
MCC	MedChemComm	MedChemComm
MCELL-	Molecular Cell	Mol. Cell.
MCLC	Molecular Crystals and Liquid Crystals	Mol. Cryst. Liq. Cryst.
MCP-	Materials Chemistry and Physics	Mater. Chem. Phys.
MCR	Medicinal Chemistry Research	Med. Chem. Res.
MDD	Medicine in Drug Discovery	Med. Drug Discov.
ME	Methods in Enzymology	Methods Enzymol.
MEE-	Microelectronic Engineering	Microelectron. Eng.
MGC	Main Group Chemistry	Main Group Chem.
MHC	Monatschefte fuer Chemie	Monatsh. Chem.
MKITE	Memoirs of the Kyushu Institute of Technology. Engineering	Memoirs KIT.Engineering
ML-	Materials Letters	Mater. Lett.
MM	Macromolecules	Macromolecules
MMB	Methods in Molecular Biology	Meth. Mol. Biol.
MMI	Metals and Materials International	Metals Mater. Int.
MMRC	Macromolecular Rapid Communications	Macromol. Rapid Commun.
MP	Molecular Pharmacology	Mol. Pharmacol.
MRC	Magnetic Resonance in Chemistry	Magn. Reson. Chem.
MRM-	Magnetic Resonance in Medicine	Magn. Reson. Med.
MRR	Medicinal Research Reviews	Med. Res. Rev
MRSB	MRS Bulletin	MRS Bull.
MSE-C-	Material Science \& Engineering, C: Materials for Biological Applications	Mater. Sci. Eng., C
MSE-R-	Materials Science \& Engineering, R: Reports	Mater. Sci. Eng., R
MT	Materials Today	Mater. Today
MTC	Materials Technology	Mater. Technol.
MTP-	Materials Today Physics	Mater. Today Phys.
N-	Nature	Nature
NANOMAT	Nanomaterials	Nanomaterials
NAR	Nucleic Acids Research	Nucleic Acids Res.
NATO-ASI-C	NATO ASI Series, Series C:  Mathematical and Physical Sciences	NATO ASI Ser., Ser. C
NC	Nature Communications	Nat. Commun.
NCB	Nature Chemical Biology	Nat. Chem. Biol.
NCH	Nature Chemistry	Nat. Chem.
NE-	Nano Energy	Nano Energy
NENRG	Nature Energy	Nat. Energy
NJC	New Journal of Chemistry	New J. Chem.
NL	Nano Letters	Nano Lett.
NKK	Nippon Kagaku Kaishi	Nippon Kagaku Kaishi
NM	Neuromethods	Neuromethods
NMAT	Nature Materials	Nat. Mater.
NMB	Nuclear Medicine and Biology	Nucl. Med. Biol.
NML	Nano-Micro Letters	Nano-Micro Lett.
NN	Nucleosides and Nucleotides	Nucleosides Nucleotides
NNN	Nucleosides, Nucleotides and Nucleic Acids	Nucleosides, Nucleotides Nucleic Acids
NNT	Nature Nanotechnology	Nat. Nanotechnol.
NP	Nature Protocols	Nat. Protoc.
NPR	Natural Product Reports	Nat. Prod. Rep.
NPRS	Natural Product Research	Nat. Prod. Res.
NRC	Nature Reviews Chemistry	Nat. Rev. Chem.
NRDD	Nature Reviews Drug Discovery	Nat. Rev. Drug Discov.
NRMB	Nature Reviews Microbiology	Nat. Rev. Microbiol.
NSMB	Nature Structural & Molecular Biology	Nat. Struct. Mol. Biol.
OBC	Organic & Biomolecular Chemistry	Org. Biomol. Chem.
OCF	Organic Chemistry Frontiers	Org. Chem. Front.
OER	Opto-Electronics Review	Opto-Electron. Rev.
OL	Organic Letters	Org. Lett.
OM	Organometallics	Organometallics
OPPI	Organic Preparations and Procedures International	Org. Prep. Proced. Int.
OPRD	Organic Process Research & Development	Org. Process Res. Dev.
OR	Organic Reactions	Org. React.
OS	Organic Synthesis	Org. Synth.
P	Polyhedron	Polyhedron
PAC	Pure and Applied Chemistry	Pure Appl. Chem.
PC	Phytochemistry	Phytochemistry
PCCP	Physical Chemistry Chemical Physics	Phys. Chem. Chem. Phys
PCLR-	Pharmacological Research	Pharmacol. Res.
PCPB	Photochemistry and Photobiology	Photochem. Photobiol.
PES	Polymer Engineering & Science	Polym. Eng. Sci.
PHCH	Der Pharma Chemica	Chemica, Pharma.
PHR-A-	Physical Review A: Atomic, Molecular, and Optical Physics	Phys. Rev. A
PHR-B-	Physical Review B: Condensed Matter and Materials Physics	Phys. Rev. B
PI	Polymer International	Polym. Int.
PJ	Polymer Journal	Polymer J.
PJC	Polish Journal of Chemistry	Pol. J. Chem.
PM	Polymer	Polymer
PMCH	Polymer Chemistry	Polym. Chem.
PMC	Polymer Communications	Polym. Commun.
PMCH	Progress in Medicinal Chemistry	Prog. Med. Chem.
PMS	Pesticide Management Science	Pest. Manag. Sci.
PMSE	Polymer Materials: Science and Engineering	Polym. Mater. Sci. Eng.
PNAS	Proceedings of the National Academy of Sciences of the United States of America	Proc. Natl. Acad. Sci. U.S.A.
PNAS	Proceedings of the National Academy of Sciences	Proc. Natl. Acad. Sci.
PNMRS-	Progress in Nuclear Magnetic Resonance Spectroscopy	Prog. Nucl. Mag. Res. Sp.
PNICOBBPW	Prace Naukowe Instytutu Chemii Organicznej, Biochemii i Biotechnologii Politechniki Wroclawskiej.	Prac. Nauk. ICOBB Politech. Wroclaw.
PPS	Progress in Polymer Science	Prog. Polym. Sci.
PP	Photochemistry and Photobiology	Photochem. Photobiol.
PPA	Pharmaceutical Patent Analyst	Pharm. Pat. Anal.
PPV	Progress in Photovoltaics	Prog. Photovoltaics
PR	Pharmaceutical Research	Pharm. Res.
PS	Peptide Science	Pept. Sci.
PS-D	Polymer Science, Series D	Polym. Sci., Ser. D
PSCI	Proteome Science	Proteome Sci.
PSHN	Peptide Science (Hoboken, NJ, United States)	Pept. Sci. (Hoboken, NJ, U.S.)
PSPIE	Proceedings of SPIE—The International Society for Optical Engineering	Proc. SPIE
PSS-	Phosphorus, Sulfur, and Silicon and the Related Elements	Phosphorus, Sulfur Silicon Relat Elem.
PSS-	Phosphorus, Sulfur, and the Related Elements	Phosphorus, Sulfur Relat Elem.
PSSC-	Progress in Solid State Chemistry	Prog. Solid State Chem.
PT:	Phase Transitions	Phase Transitions
PTRSB	Philosophical Transactions of the Royal Society B: Biological Sciences	Philos. Trans. R. Soc., B.
RCB	Russian Chemical Bulletin	Russ. Chem. Bull.
RCCPP	Research Communications in Chemical Pathology and Pharmacology	Res. Comm. Chem. Pathol. Pharmacol.
RCI	Research on Chemical Intermediates	Res. Chem. Intermed.
RCMS	Rapid Communications in Mass Spectrometry	Rapid Commun. Mass Spectrom.
RCR	Russian Chemical Reviews	Russ. Chem. Rev.
RFP	Reactive and Functional Polymers	React. Func. Polym.
RHC	Reviews on Heteroatom Chemistry	Rev. Heteroat Chem.
RJAC	Russian Journal of Applied Chemistry	Russ. J. Appl. Chem.
RJEC	Russian Journal of Electrochemistry	Russ. J. Electrochem.
RJGC	Russian Journal of General Chemistry	Russ. J. Gen. Chem.
RJOC	Russian Journal of Organic Chemistry	Russ. J. Org. Chem.
RNASU	Reports of NAS of Ukraine	Reports of NAS of Ukraine
RPC-	Radiation Physics and Chemistry	Radiat. Phys. Chem
RPQ	Revista Portuguesa de Quimica	Rev. Port. Quim.
RRDOC	Recent Research Developments in Organic Chemistry	Rec. Res. Devel. Org. Chem.
RSCA	RSC Advances	RSC Adv.
RSCCB	RSC Chemical Biology	RSC Chem. Biol.
RSCDDS	RSC Drug Discovery Series	RSC Drug Discovery Ser.
RSCMC	RSC Medicinal Chemistry	RSC Med. Chem.
RSOS	Royal Society Open Science	R. Soc. Open Sci.
RTCPB	Recueil des Travaux Chimiques des Pays-Bas	Recl. Trav. Chim. Pay-B.
S	Synthesis	Synthesis
SA-A-	Spectrochimica Acta, Part A:  Molecular and Biomolecular Spectroscopy	Spectrochim. Acta, Part A
SAJC	South African Journal of Chemistry	South Afr. J. Chem.
SAM	Science of Advanced Materials	Sci. Adv. Mater.
SC	Synthetic Communications	Synth. Commun.
